year,author,category,title,subject,details
1994,Bungie,,Marathon Trilogy (1994 - 1996),gaming,"Marathon Trilogy (1994 - 1996), Bungie"
1994,VNS Matrix,,All New Gen,,"All New Gen, VNS Matrix"
1994,George Legrady,,,,"An Anecdoted Archive from the Cold War, George Legrady"
1994,"Bill Barminski, Webster Lewin, and Jerry Hesketh ",,,,"BAR-MIN-SKI, Consumer Product, Bill Barminski, Webster Lewin, and Jerry Hesketh "
1994,Nobuhiro Shibayama ,,,,"Biomorph Encyclopedia: Muybridge, Nobuhiro Shibayama "
1994,the Media Band ,,,,"Meet the Media Band, the Media Band"
1995,Char Davies ,,Osmose,gaming,"Osmose, Char Davies"
1995,"Orhan Kipcak, Curd Duca, Rainer Urban, XRay, and collaborators ",,,gaming,"Arsdoom, Orhan Kipcak, Curd Duca, Rainer Urban, XRay, and collaborators "
1995,IEEE P1394 Working Group,,,,"IEEE 1394 Interface AKA FireWire, Apple Inc. (1394a/b); DV (Digital Video) format"
1995,Jellyvision ,CNME,,gaming,"You Don't Know Jack, Jellyvision"
1995,,,,gaming,"Jason Salavon works as PC and Playstation Artist & Programmer for Viacom New Media, Buffalo Grove (1995 -1997)"
1995,Midway,,,gaming,"Mortal Kombat 3 and Ultimate Mortal Kombat 3, Midway"
1995,,,,,"Surveying the First Decade: Video Art and Alternative Media in the U.S., Video Data Bank"
1995,Chris Hill,,,,"Chris Hill, “Attention! Audience! Production! Performing Video in its First Decade, 1968-1980”"
1995,Erkki Huhtamo ,,,,"Erkki Huhtamo, “Resurrecting the Technological Past: An Introduction to the Archeology of Media Art” and “Art on the CD-ROM Frontier”"
1995,,,Cyberflesh Girlmonster,,"Linda Dement, Cyberflesh Girlmonster"
1995,,,ScruTiny in the Great Round,,"Tennessee Rice Dixon and Jim Casperini with Charlie Morrow, ScruTiny in the Great Round"
1995,,,Going Hybrid: The Online/CD-ROM Connection,,"Domenic Stansberry, Going Hybrid: The Online/CD-ROM Connection"
1995,,CNME,EVE 4,,EVE 4
1996,,,Untitled Game (1996 - 2001),gaming,"Untitled Game (1996 - 2001), JODI"
1996,,,ニンテンドウ64 (Nintendo 64),gaming,ニンテンドウ64 (Nintendo 64)
1996,,,Mortal Kombat Trilogy,gaming,"Mortal Kombat Trilogy, Midway "
1996,,,Duke Nukem 3D,gaming,"Duke Nukem 3D, Apogee "
1996,,,Quake,gaming,"Quake, id Software "
1996,,,Museum Meltdown (1996 - 1999),,"Museum Meltdown (1996 - 1999), Palle Torsson Tobias Bernstrup"
1996,,,My Boyfriend Came Back from the War,,"My Boyfriend Came Back from the War, Olia Lialina"
1997,,,,,Jason Salavon graduates from SAIC and begins teaching as part-time faculty at SAIC (1997 - 2002)
1997,Midway ,,,gaming,"Mortal Kombat 4, Midway"
1997,Midway ,,,gaming,"Mortal Kombat Mythologies: Sub-Zero, Midway"
1998,NASA’s Ames Research Center ,,,,"Virtual Environment Workstation Project (VIEW), NASA’s Ames Research Center "
1998,,,,,Christine Tamblyn dies
1998,,,,,Dara Greenwald begins working at the Video Data Bank at SAIC
1998,Natalie Bookchin,CNME,The Intruder (1998 - 1999),,"The Intruder (1998 - 1999), Natalie Bookchin"
1998,,,,,Jason Salavon works as Nintendo 64 Artist & Programmer for Midway Games in Chicago (1998 - 2000)
1998,Valve,,Half-Life,gaming,"Half-Life, Valve"
1999,JODI ,,SOD,gaming,"SOD, JODI"
1999,Joan Leandre,,retroyou_nostal(G) series - retroyou (1999 - 2003),,"retroyou_nostal(G) series - retroyou (1999 - 2003), Joan Leandre"
1999,Joan Leandre,,retroyou RC series - retroyou (1999 - 2001),,"retroyou RC series - retroyou (1999 - 2001), Joan Leandre"
1999,Anne-Marie Schleiner ,,CRACKING THE MAZE: Game Plug-ins and Patches as Hacker Art,gaming,"Anne-Marie Schleiner, CRACKING THE MAZE: Game Plug-ins and Patches as Hacker Art "
1999,,,,,Video Data Bank acquires the archive of the Videofreex
1999,,,,,DEADTECH Gallery run by Rob Ray in Chicago (1999 - 2008)
1999,Jane Veeder,CNME,ALLEGORIAL WORLDS,,"ALLEGORIAL WORLDS, Jane Veeder"
1999,Midway ,,Mortal Kombat Gold,gaming,"Mortal Kombat Gold, Midway"
1999,Josephine Starrs and Leon Cmielewski ,,Bio Tek Kitchen,,"Bio Tek Kitchen, Josephine Starrs and Leon Cmielewski "
1999,"Dan Sandin (virtual environment), Laurie Spiegel (sound), Dick Ainsworth (kayaking partner) and Tom DeFanti (Electronic Visualization partner) Dan Sandin (virtual environment), Laurie Spiegel (sound), Dick Ainsworth (kayaking partner) and Tom DeFanti (Electronic Visualization partner) ",CNME,From Death’s Door to the Garden Peninsula,,"From Death’s Door to the Garden Peninsula, Dan Sandin (virtual environment), Laurie Spiegel (sound), Dick Ainsworth (kayaking partner) and Tom DeFanti (Electronic Visualization partner)"
1999,"The Carbon Defense League, Critical Art Ensemble + Creation as Crucifixion ",,,,"Child as Audience + Child as Participant (Where Technology and Anarchy Fuck), The Carbon Defense League, Critical Art Ensemble + Creation as Crucifixion "
2000,Myfanwy Ashmore ,,,gaming,"Mario Battle No.1, Myfanwy Ashmore "
2000,Midway ,,,gaming,"Mortal Kombat: Special Forces, Midway"
2000,Mary Flanagan ,,,,"Career Moves, Mary Flanagan "
2000,Mary Flanagan ,,,,"Adventures of Josie True, Mary Flanagan "
2001,Mary Flanagan ,,,,"[rootings], Mary Flanagan "
2001,,,,,"Post-Data in the Age of Low Potential: Pt. 2, the first ever Beige gallery exhibition by BEIGE Collective at DEADTECH Gallery, Chicago"
2001,Baily & Corby,,,gaming,"gameboy_ultraF_uk (2001 - 2002), Baily & Corby"
2001,Joan Leandre,,,,"retroyou nostalG2 series - retroyou (2001 - 2003), Joan Leandre"
2001,,,,,"The Film, Video, New Media and Animation Department (FVNMA) officially begins offering courses at SAIC, adding Animation [A] in 2010"
2001, Lev Manovich ,,The Language of New Media,,"Lev Manovich, The Language of New Media"
2001,"Dan Sandin, Josephine Anstey, Geoffrey Allen Baum, Drew Browning, Beth Cerny Patiño, Margaret Dolinsky, Petra Gemeinboeck, Marientina Gotsis, Alex Hill, Ya Lu Lin, Josephine Lipuma, Brenda Lopez Silva, Todd Margolis, Keith Miller, Dave Pape, Tim Portlock, Joseph Tremonti, Annette Barbier, and Dan Neveu ",CNME,EVL Alive on the Grid,,EVL Alive on the Grid
2001,Dan Sandin,CNME,Looking for Water (2001-2005),,"Looking for Water (2001-2005), Dan Sandin"
2001,"Beth Cerny Patiño, Brenda Lopez Silva, Dave Pape, John Landry, Joseph, Tremonti, Josephine Anstey, Kyoung Shin Park, Petra Gemeinboeck, Tim Portlock, and Todd Margolis at EVL, UIC ",CNME,,,EVE5: Virtual Reality Art Environments in the CAVE
2002,"BEIGE Collective (Paul B. Davis, Cory Arcangel, Joe Beuckman, and Joe Bonn) ",,,gaming,"Super Mario Clouds, BEIGE Collective (Paul B. Davis, Cory Arcangel, Joe Beuckman, and Joe Bonn) "
2002,JODI ,,,,"Jet Set Willy Variations, JODI"
2002,Auriea Harvey and Michaël Samyn,,,gaming,"Tale of Tales (2002 - 2015), Auriea Harvey and Michaël Samyn"
2002,,,,,criticalartware founded in Chicago (2002 - 2008)
2002,,,,,criticalartware interviews Kate Horsfield
2002,,,QQQ,gaming,"QQQ, nullpointer AKA Tom Betts "
2002,Midway ,,,gaming,"Mortal Kombat: Deadly Alliance, Midway"
2002,Siebren Versteeg ,CNME,,,"Emergency, Siebren Versteeg "
2003,Anna Anthropy ,,,gaming,"Jaywalker: The Game of Pedestrian Revenge, Anna Anthropy"
2003,Katie Salen and Eric Zimmerman ,,,gaming,"Katie Salen and Eric Zimmerman, Rules of Play: Game Design Fundamentals"
2003,,,,,criticalartware interviews Dan Sandin
2003,,,,,criticalartware interviews Jane Veeder
2003,,,,,Phil Morton dies
2003,,,,,Dara Greenwald graduates from SAIC
2003,,,,,Dara Greenwald teaches as part-time faculty in the FVNMA Department at SAIC
2003,,,,,"Old Skool Revolutionaries, jonCates’ experimental documentary on the Media Art Hystories and Genealogies of Chicago, premieres at Conversations at the Edge, the Gene Siskel Film Center in Chicago"
2003,Midway ,,,gaming,"Mortal Kombat: Tournament Edition, Midway"
2003,Oliver Grau ,,,,"Oliver Grau, Virtual Art: From Illusion to Immersion"
2003,Jason Salavon ,CNME,,,"Emblem (2001 A Space Odyssey), Jason Salavon "
2003,Mary Flanagan ,,[domestic],,"[domestic], Mary Flanagan "
2003,Mona Jimenez ,,,,"The Artist Instrumentation Database Project, Mona Jimenez "
2004,JODI ,,,gaming,"Max Payne CHEATS ONLY /, JODI"
2004,JODI ,,,gaming,"Untitled Street Legal, JODI"
2004,Myfanwy Ashmore ,,,gaming,"mario_is_drowning, Myfanwy Ashmore "
2004,Myfanwy Ashmore ,,,gaming,"mario_doing_time, Myfanwy Ashmore "
2004,,,,,"jonCates hired as the first, and thus far only, full-time New Media Faculty at SAIC in the department of FVNMA, and Affiliated Faculty of the Art History, Theory and Criticism Department"
2004,Midway,,,gaming,"Mortal Kombat: Deception, Midway"
2004,Valve ,,,gaming,"Half-Life 2, Valve"
2004,Garry Newman ,,,gaming,"Garry's Mod, Garry Newman"
2004,Sabrina Raaf ,CNME,,,"Translator II: Grower, Sabrina Raaf"
2004,Mary Flanagan ,,,,"[six.circles], Mary Flanagan"
2005,Unity Technologies (2005 - present),,,gaming,"Unity, Unity Technologies (2005 - present)"
2005,"David Helgason, Joachim Ante and Nicholas Francis ",,,gaming,"Unity (1.0.0), David Helgason, Joachim Ante and Nicholas Francis"
2005,,,,,criticalartware digitizes and distributes “The Distribution Religion” freely releasing digital copies of this document online
2005,,,,,Barb Abarmo donates the materials that will become The Phil Morton Memorial Research Archive to jonCates
2005,,,,,jonCates creates the concept of Chicago Dirty New Media Art while curating exhibitions and events called r4WB1t5 micro.Festivals in Chicago and Mexico City
2005,Akio Imai and Azusa Tajima for Nintendo ,,スーパープリンセスピーチ (Super Princess Peach),gaming,"スーパープリンセスピーチ (Super Princess Peach), Akio Imai and Azusa Tajima for Nintendo "
2005,,,,,"ENEMY run by Jason Soliday, Chicago (2005 - 2013)"
2005,,,,,"World Wide Wrong: JODI at Netherlands Media Art Institute (NIMk), Amsterdam"
2005,Cory Arcangel and Paper Rad ,,,gaming,"Super Mario Movie, Cory Arcangel and Paper Rad "
2005,Midway ,CNME,,gaming,"Mortal Kombat: Shaolin Monks, Midway"
2005,Chris Reilly ,CNME,,,"Chris Reilly, Everything I Do is Art, But Nothing I Do Makes Any Difference"
2005,Katie Salen and Eric Zimmerman ,,,gaming,"Katie Salen and Eric Zimmerman, Game Design and Meaningful Play, and The Game Design Reader: A Rules of Play Anthology"
2005,Jason Salavon ,CNME,,,"Jason Salavon, Everything, All at Once (Part III)"
2005,"Dave Griffiths, Gabor Papp, and others ",,,,"Fluxus (live coding environment), Dave Griffiths, Gabor Papp, and others "
2006,Fred Turner ,,,,"Fred Turner, Stewart Brand: From Counterculture to Cyberculture, the Whole Earth network, and the rise of digital utopianism"
2006,,,,,"Oliver Grau founds the first international Media Art Histories Graduate program at the Donau-Universität Krems, Austria"
2006,,,,,"Dan Sandin: 35 Years of Electronic Art curated by jonCates and Amy Beste at Conversations at the Edge, the Gene Siskel Film Center in Chicago"
2006,,,,,"CALCULATIONS: PIONEERS OF COMPUTER ANIMATION curated by jonCates, Jim Trainor, and Amy Beste at Conversations at the Edge, the Gene Siskel Film Center in Chicago"
2006,,,,,"COPY-IT-RIGHT curated by jonCates at Conversations at the Edge, the Gene Siskel Film Center in Chicago"
2006,,,,,"JODI curated by jonCates at Conversations at the Edge, the Gene Siskel Film Center in Chicago"
2006,Midway,,,gaming,"Mortal Kombat: Armageddon, Midway"
2006,Midway ,,,gaming,"Mortal Kombat: Unchained, Midway"
2006,Aram Bartholl ,,,gaming,"First Person Shooter, Aram Bartholl"
2006,Mary Flanagan ,,,gaming,"[giantJoystick], Mary Flanagan "
2007,,,,,jonCates founds The Phil Morton Memorial Research Archive at SAIC
2007,,,,,"The Distribution Religion exhibition at The Art Gallery of Knoxville, Tennessee"
2007,Dara Greenwald ,CNME,,gaming,"Dara Greenwald, The Grassroots Video Pioneers"
2007,,,,,"Jason Salavon begins teaching as an Assistant Professor in the Department of Visual Arts & Computation Institute, The University of Chicago (U of C) (2007 - 2014)"
2007,Midway,,,,"Ultimate Mortal Kombat, Midway"
2007,,,,,Tamas Kemenczy graduates from SAIC
2007,Myfanwy Ashmore ,,,gaming,"gameboy portraits - portable family -, Myfanwy Ashmore "
2007,Nancy Bechtol ,CNME,,,"Native Dance Vibrations, Nancy Bechtol"
2008,Anna Anthropy ,,,gaming,"Mighty Jill Off, Anna Anthropy"
2008,Anna Anthropy ,,,gaming,"Calamity Annie, Anna Anthropy"
2008,,,,gaming,"Sidequest: Text Adventure and Games Walkthrough Gallery Show, The Guardians of the Tradition, an Art Games guild (jonCates, Jake Elliott and Tamas Kemenczy)"
2008,,,,,Eugene Jarvis is DePaul University’s first Game Designer in Residence
2008,Midway ,,Mortal Kombat vs. DC Universe,gaming,"Mortal Kombat vs. DC Universe, Midway "
2008,,,,,SIGGRAPH Asia (SA) conferences begin
2008,Jake Elliott ,,"“Dirty New Media Art, Activism and Computer Counter Cultures”",,"Jake Elliott, “Dirty New Media Art, Activism and Computer Counter Cultures”"
2008,,,,,"GLITCH, Creative Problem Creating curated by Jon Satrom at Conversations At The Edge, attended by Nick Briz"
2008,,,,,"I LOVE PRESETS (Jon Satrom, Jason Soliday, and Rob Ray) at Conversations at the Edge, The Gene Siskel Film Center, organized by jonCates"
2008,Michael Century ,,,,"Michael Century, “Graphical Performance Machines Computer Graphics as a ‘way of life’”"
2009,Anna Anthropy ,,,gaming,"Afternoon in the House of Secrets, Anna Anthropy"
2009,Anna Anthropy ,,,gaming,"When Pigs Fly, Anna Anthropy"
2009,,,,,"Digital Broadcast standards switch over in the United States, transitioning signals from analog to digital and introducing digital glitches into broadcast media/television "
2009,Rosa Menkman ,,,,"The Collapse of PAL, Rosa Menkman "
2009,,,,,"jonCates is the first graduate of the first international Media Art Histories Graduate program at the Donau-Universität Krems, Austria"
2009,,,,,CRITICAL GLITCH ARTWARE (2009 - 2013)
2009,,,,,"Glitch: Investigations into the New Ecology of the Digital Age curated by Nick Briz at Eye&Ear Clinic, Chicago"
2009,,,,,James Connolly graduates from SAIC
2009,Mary Flanagan ,,,gaming,"Mary Flanagan, Critical Play: Radical Game Design"
2009,Mary Flanagan ,,,,"[xyz], Mary Flanagan "
2010,Jake Elliott ,,,gaming,"A House in California, Jake Elliott "
2010,Jake Elliott ,,,gaming,"Hummingbird Mind, Jake Elliott "
2010,Jake Elliott ,,,gaming,"I Can Hold My Breath Forever, Jake Elliott "
2010,Jake Elliott ,,,gaming,"Beulah and the Hundred Birds, Jake Elliott "
2010,Jake Elliott ,,,gaming,"Dog and Bone are Friends, Jake Elliott "
2010,Anna Anthropy with Koduco ,,,gaming,"Pong Vaders, Anna Anthropy with Koduco "
2010,Anna Anthropy with Koduco ,,,gaming,"Redder, Anna Anthropy with Koduco "
2010,,,,,Critical Glitch Artware curated by jonCates and Jake Elliott at BLOCKPARTY and NOTACON Art and Technology conference/hacker convention in Cleveland
2010,,,,,GLI.TC/H (Glitch Art) Festivals of Noise and New Media in Chicago (2010 - 2012)
2010,,,,,"Rosa Menkman: Glitched at Conversations at the Edge, The Gene Siskel Film Center, organized by jonCates "
2011,,,,,Nick Briz graduates from SAIC
2011,,,,,Jake Elliott graduates from SAIC
2011,Jake Elliott ,,,gaming,"Balloon Diaspora with music by Oliver Blank, Jake Elliott "
2011,James Connolly and Kyle Evans,,,,"Cracked Ray Tube (2011 - 2018), James Connolly and Kyle Evans"
2011,Anna Anthropy ,,,gaming,"Lesbian Spider Queens of Mars, Anna Anthropy "
2011,Anna Anthropy ,,,gaming,"Police Bear, Anna Anthropy"
2011,Anna Anthropy ,,,gaming,"Encyclopedia Fuckme and the Case of the Vanishing Entree, Anna Anthropy"
2011,"Mark Beasley, Tamas Kemenzcy, and Alex Inglizian (2011 - 2015)",,Arcanebolt,,"Arcanebolt, Mark Beasley, Tamas Kemenzcy, and Alex Inglizian (2011 - 2015)"
2011,NetherRealm Studios        ,,Mortal Kombat,gaming,"Mortal Kombat, NetherRealm Studios"
2011,Other Ocean Interactive ,,,gaming,"Mortal Kombat Arcade Kollection, Other Ocean Interactive "
2011,Hunter Jonakin ,,,gaming,"Jeff Koons Must Die!!!, Hunter Jonakin "
2011,,,,,Barb Abramo dies
2011,,,,gaming,"Art Games LAN Party curated by jonCates, Jake Elliot, and Tamas Kemenczy at NOTACON Art and Technology conference/hacker convention in Cleveland"
2012,,,,,jonCates proposes and publicly deploys the concept of postglitch
2012,,,,,Dara Greenwald dies
2012,,,,,"Dirty New Media Toolkit developed by jonCates, Jake Elliott and SHAWNÉ MICHAELAIN HOLLOWAY for NOTACON Art and Technology conference/hacker convention in Cleveland"
2012,,,,,"DNMw3rkstati0n: (AKA Dirty New Media Workstation) curated by jonCates, Jake Elliott and SHAWNÉ MICHAELAIN HOLLOWAY for the GLI.TC/H (Glitch Art) conference of Noise and New Media Art in Chicago"
2012,,,,,"Glitch / Artware Category created by jonCates, Jake Elliott, and Tamas Kemenczy for PixelJam at NOTACON Art and Technology conference/hacker convention in Cleveland"
2012,Anna Anthropy,,,gaming,"Keep Me Occupied, Anna Anthropy"
2012,Anna Anthropy,,,gaming,"Anna Anthropy, Rise of the Videogame Zinesters: How Freaks, Normals, Amateurs, Artists, Dreamers, Drop-outs, Queers, Housewives, and People Like You Are Taking Back an Art Form"
2012,Anna Anthropy ,,,gaming,"Dys4ia, Anna Anthropy"
2012,,,,gaming,"Anna Anthropy presents at dorkbot Chicago on Thursday April 5th 2012 at 7 PM, organized by jonCates and Jake Elliott"
2012,,,,,Nick Briz begins teaching as part-time faculty at SAIC
2012,,,,,Jake Elliott begins teaching as part-time faculty at SAIC
2012,,,,,"CH1C∆Gø D1RTY N3W M3DI∆ curated by Nick Briz at The Museum of Contemporary Art, Chicago"
2012,NetherRealm Studios ,,,gaming,"Mortal Kombat: Komplete Edition, NetherRealm Studios "
2013,"Cardboard Computer (Jake Elliott, Tamas Kemenczy, and Ben Babbitt) (2013 - present)",CNME,,gaming,"Kentucky Route Zero, Cardboard Computer (Jake Elliott, Tamas Kemenczy, and Ben Babbitt) (2013 - present)"
2013,Anna Anthropy ,CNME,,gaming,"Triad, Anna Anthropy"
2013,Anna Anthropy ,,,gaming,"The Hunt for the Gay Planet, Anna Anthropy"
2013,Anna Anthropy ,,,gaming,"And the Robot Horse You Rode In On, Anna Anthropy"
2013,,,,,"(Glitch) Art Genealogies curated by Daniel Franke, John McKiernan and Rosa Menkman at LEAP Gallery, Berlin"
2013,,,,,"Dirty New Media curated by Antonio Roberts at The Barber Institute of Fine Arts, Birmingham"
2013,,,,,"“Re:copying-IT-RIGHT AGAIN” by jonCates published in Re:live, New Directions in Media Art History, edited by Sean Cubitt and Paul Thomas, MIT Press "
2013,,,,,REMIX-IT-RIGHT! curated by jonCates at the Gene Siskel Film Center as part of Conversations At The Edge with the Society for Cinema and Media Studies Annual Conference
2013,Nick Briz,CNME,Apple Computers,,"Apple Computer, Nick Briz, Commissioned for REMIX-IT-RIGHT! "
2013,,,,,James Connolly begins teaching as part-time faculty at SAIC
2013,,,,,SHAWNÉ MICHAELAIN HOLLOWAY graduates from SAIC
2013,Anita Sarkeesian,,,gaming,"Part 1 - Tropes vs Women in Video Games - feministfrequency: Damsel in Distress, Anita Sarkeesian"
2013,SHAWNÉ MICHAELAIN HOLLOWAY,,,,"SHAWNÉ MICHAELAIN HOLLOWAY, “Venus in Glitches: Dirty New Media and Transdiscursiveness”"
2013,,,1_approach.dnm: (inter)active viewership in dirty new media,,"SHAWNÉ MICHAELAIN HOLLOWAY and Steven R. Hammer, 1_approach.dnm: (inter)active viewership in dirty new media"
2014,,,,,"glitChicago curated by Paul Hertz at the Ukrainian Institute of Modern Art, Chicago"
2014,,,,,"“Phil Morton and Jane Veeder: Our Desired Futures and the Mobile Media Art Lab” by jonCates published in Immersive Life Practices, edited by Daniel Tucker, University of Chicago Press"
2014,,,,,"“Copying-It-Right: Archiving the Media Art of Phil Morton” by jonCates published in The Emergence of Video Processing Tools: Television Becoming Unglued, edited by Mona Jimenez"
2014,James Connolly,,,,"RGB.VGA.VOLT (2014 - 2018), James Connolly"
2014,Anna Anthropy ,,,gaming,"Gay Cats Go to the Weird Weird Woods, Anna Anthropy"
2014,Anna Anthropy ,,ZZT,gaming,"ZZT, Anna Anthropy"
2014,,,,,"Jason Salavon becomes Associate Professor, Department of Visual Arts & Computation Institute, University of Chicago"
2014,,,,,ANALOG DREAMSCAPE: Video & Computer Art in Chicago 1973-1985 - South Side Projections with Institute for the Humanities at UIC
2014,,,,gaming,"Video Game Art Gallery (VGA Gallery) is founded by Chaz Evans and Jonathan Kinkley and holds its first exhibition at Galerie F, Chicago"
2014,,,,gaming,VGA Gallery incorporated into a not-for-profit organization
2015,,,,,"International Symposium on Electronic Art (ISEA) takes place in Vancouver, Canada, featuring a Glitch Art category/track"
2015,Anna Anthropy ,,Ohmygod Are You Alright,,"Ohmygod Are You Alright, Anna Anthropy"
2015,,,,,"Glitch Art is Dead Festival/exhibition/conference at Teatr Barakah in Krakow, Poland"
2015,,,/'fu:bar/ glitch art izložba,,"/'fu:bar/ glitch art izložba, Siva Galerija, AKC, Zagreb, Croatia"
2015,,,NetherRealm Studios,gaming,"Mortal Kombat X, NetherRealm Studios"
2016,,,,,Celebrating Women in New Media Arts | 150 Years of SAIC symposium at SAIC
2016,,,Radiant Visions: Media Art from SAIC 1965 – Now,,"Radiant Visions: Media Art from SAIC 1965 – Now, Curated by jonCates, Daniel Eisenberg, and Amy Beste at SAIC"
2016,NetherRealm Studios,,,gaming,"Mortal Kombat XL, NetherRealm Studios"
2017,,,,,"Glitch Art is Dead Festival/exhibition/conference at Gamut Gallery in Minneapolis, MN"
2017,Patrick LeMieux ,,Everything but the Clouds,gaming,"Everything but the Clouds, Patrick LeMieux "
2017,Randall Roberts ,,“The BEIGE Programming Ensemble: An Essay”,,"Randall Roberts, “The BEIGE Programming Ensemble: An Essay”"
2017,"Ellen Sandor, Chris Kemp, Diana Torres, and Azadeh Gholizadeh, art(n)",CNME,Have a Nice Day II: VR Tour Through the Decades,,"Have a Nice Day II: VR Tour Through the Decades, Ellen Sandor, Chris Kemp, Diana Torres, and Azadeh Gholizadeh, art(n)"
2017,,,,gaming,VGA Gallery opens a brick-and-mortar location in Chicago
2017,,,,gaming,"VGA Gallery launches the first publication of The Video Game Art Reader, a peer-reviewed, open-access, academic journal of video game art scholarship"
2018,,,,,It is two minutes to midnight exhibition by Ellen Sandor and collaborators (art)n at Weinberg/Newton Gallery in Chicago
2018,,,New Media Futures: The Rise of Women in the Digital Arts,,"Ellen Sandor, Donna Cox, and Janine Fron (co-editors), New Media Futures: The Rise of Women in the Digital Arts"
2018,jonCates,,,,"jonCates, “Idealisms of Do-It-Yourself Media Arts: From Portapak to Internet”"
2018,"Cardboard Computer (Jake Elliott, Tamas Kemenzy, and Ben Babbitt)",CNME, Un Pueblo de Nada (Kentucky Route Zero interlude)Cardboard Computer (Jake Elliott,gaming,"Un Pueblo de Nada (Kentucky Route Zero interlude), Cardboard Computer"
2018,Jeffrey Daniels,CNME,Lift,,"Life, Jeffrey Daniels"
2018,Sara Ludy,CNME,Sky Canyon,,"Sky Canyon, Sara Ludy"
